1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,t1,t2,control_number
2,2,2,2,2,2,3,2,3,2,4,6,1,4,4,2,1,2,5,1,2,3,4,6,2,2,2,2,5,2,2,2,4,2,4,2,2,3,5,2,4,4,2,2,3,4,2,5,2,3,5,2,4,5,3,79.0,108.0,0.0
2,2,2,2,2,2,2,2,3,2,4,6,1,6,4,2,5,2,5,1,2,3,4,6,6,2,2,2,5,2,2,2,1,2,4,2,2,2,5,2,4,4,2,2,2,4,2,5,2,3,5,2,4,5,3,80.2,113.0,0.0
2,2,2,2,2,2,2,2,3,2,4,2,1,6,4,2,5,2,5,1,2,3,4,6,6,2,2,2,5,2,2,2,1,2,4,2,2,2,5,2,4,4,2,2,2,4,2,5,2,3,5,2,4,5,3,81.6,115.0,0.0
2,2,2,2,2,2,2,2,3,2,4,2,1,6,4,2,5,2,5,1,2,3,4,6,6,2,2,2,5,2,2,2,1,2,4,2,2,2,5,2,4,4,2,2,2,4,2,2,2,3,5,2,4,5,3,83.0,116.0,0.0
2,2,2,2,2,2,2,2,3,2,4,2,1,6,4,2,5,2,5,1,2,3,4,6,2,2,2,2,5,2,2,2,1,2,4,2,2,2,5,2,4,4,2,2,2,4,2,5,2,3,5,2,4,5,3,83.0,117.0,0.0
2,2,2,2,2,2,2,2,3,2,4,2,1,6,4,2,2,2,5,1,2,3,4,6,6,2,2,2,2,2,2,2,1,2,4,2,2,2,5,2,4,4,2,2,2,4,2,5,2,3,5,2,4,5,3,84.4,117.0,0.0
2,4,5,2,2,4,2,6,5,2,4,5,1,6,2,2,5,2,2,4,2,4,4,6,2,2,2,3,6,3,4,2,1,4,1,2,2,2,3,2,5,2,1,3,4,3,2,2,2,5,3,5,3,3,2,71.2,99.0,0.0
2,6,5,2,2,4,2,6,5,2,4,5,1,6,2,2,5,2,2,4,2,4,4,6,2,2,2,3,6,3,4,2,1,4,1,2,2,2,3,2,5,2,1,3,4,3,2,2,2,5,3,5,3,3,2,70.4,99.0,0.0
2,6,5,2,2,4,2,6,5,2,4,5,1,6,2,2,5,2,2,4,2,4,4,6,2,2,2,3,6,3,4,2,1,4,1,2,2,2,3,2,5,2,1,3,4,3,2,2,2,3,3,5,3,3,2,70.4,98.0,0.0
3,6,5,2,2,4,2,6,5,2,4,5,1,6,2,2,4,2,1,4,2,4,4,6,2,6,2,2,6,3,4,2,1,4,4,2,6,2,3,2,5,2,1,2,4,3,2,2,2,3,3,5,3,3,2,69.19999999999999,93.0,0.0
2,2,2,2,2,2,2,2,3,2,4,2,1,6,4,2,2,2,2,1,2,3,4,6,6,2,2,2,5,2,2,2,1,2,4,2,2,2,2,2,4,4,2,2,2,4,2,5,2,3,5,2,4,5,3,85.8,118.0,0.0
3,6,5,2,2,4,2,6,5,2,4,1,1,6,2,2,5,2,1,4,2,4,4,6,2,6,2,3,6,3,4,2,1,4,1,2,6,2,3,2,5,2,1,3,4,3,2,2,2,3,3,5,3,3,2,64.8,89.0,0.0
3,6,5,2,2,4,2,6,5,2,4,5,1,6,2,2,5,2,1,4,2,4,4,6,2,6,2,3,6,3,4,2,1,4,1,2,6,2,3,2,5,2,1,3,4,3,2,2,2,3,3,5,3,3,2,64.8,90.0,0.0
3,6,5,2,2,4,2,6,5,2,4,1,1,6,2,2,5,2,1,4,2,4,4,6,2,6,2,3,6,3,4,2,1,4,1,2,6,2,3,2,5,2,1,3,4,2,2,2,2,3,3,5,3,3,2,66.2,91.0,0.0
2,2,2,2,2,2,2,2,3,2,4,2,2,6,4,2,2,2,2,1,2,3,4,6,6,2,2,2,5,2,2,2,1,2,4,2,2,2,5,2,4,4,2,2,2,4,2,5,2,3,5,2,4,5,3,85.8,119.0,0.0
2,6,5,2,2,4,2,6,5,2,4,5,1,6,2,2,5,2,2,4,2,4,4,6,2,6,2,3,6,3,4,2,1,4,1,2,6,2,3,2,5,2,1,3,4,3,2,2,2,3,3,5,3,3,2,67.6,94.0,0.0
3,6,5,2,2,2,2,6,5,2,4,5,1,6,2,2,4,2,1,4,2,4,4,6,2,6,2,3,6,3,4,2,1,4,4,2,6,2,3,2,5,2,1,3,4,3,2,2,2,3,3,5,3,3,2,67.0,91.0,0.0
3,6,5,2,2,4,2,6,5,2,4,1,1,4,2,2,5,2,1,4,2,4,4,6,2,6,2,3,6,3,4,2,1,4,1,2,6,2,3,2,5,2,1,3,4,3,2,2,2,3,3,5,3,3,2,65.6,89.0,1.0
2,5,2,2,2,2,2,2,3,2,4,6,1,4,1,3,1,1,5,1,3,3,1,6,6,2,3,2,5,2,2,2,4,3,4,2,2,3,5,2,4,4,1,3,3,4,4,2,4,3,5,2,4,5,3,66.4,90.0,1.0
3,6,5,2,2,4,2,2,5,2,4,1,1,6,2,2,5,2,1,4,2,4,4,6,2,6,2,3,6,3,4,2,1,4,1,2,6,2,3,2,5,2,1,3,4,2,2,2,2,3,3,5,3,3,2,67.6,93.0,1.0
3,6,5,2,2,4,2,6,5,2,4,1,1,6,2,2,5,2,1,4,2,4,4,6,6,6,2,3,6,3,5,2,1,4,1,2,6,2,3,2,5,2,1,3,4,3,2,2,4,3,3,5,3,3,2,61.99999999999999,86.0,1.0
2,5,2,2,2,2,3,2,3,2,4,6,1,4,1,3,1,1,5,1,3,3,1,6,6,2,3,2,5,2,2,2,4,3,4,2,2,3,5,2,4,4,1,3,3,4,4,5,4,3,5,2,4,5,3,63.6,87.0,2.0
1,2,5,1,2,6,5,2,4,5,6,6,1,5,3,1,5,5,2,4,6,6,2,4,4,4,6,5,2,5,4,4,2,4,6,4,2,5,4,5,6,5,2,4,4,1,4,2,3,4,3,5,2,6,4,59.8,82.0,2.0
4,4,1,1,6,4,5,5,3,6,3,4,1,5,3,4,4,2,2,5,5,1,5,3,1,3,2,2,2,5,1,2,4,5,2,4,6,3,2,1,1,1,4,4,6,2,2,2,2,3,6,6,2,5,5,59.4,83.0,3.0
3,6,5,2,2,4,2,6,5,2,4,1,1,6,2,2,5,2,1,4,2,4,4,6,6,6,2,3,6,3,4,2,1,4,1,2,6,2,3,2,5,2,1,3,4,3,2,2,4,3,3,5,3,3,2,62.8,85.0,3.0
3,3,5,2,5,2,4,1,4,2,2,3,5,1,5,2,4,2,4,2,6,3,2,4,2,3,3,6,6,6,1,6,2,2,2,4,1,3,3,4,5,3,2,4,1,1,1,4,6,4,2,4,1,3,1,61.6,81.0,4.0
5,5,5,1,3,4,2,2,5,5,4,2,5,4,1,2,5,4,2,1,3,6,3,6,1,1,2,6,2,5,5,3,1,4,1,6,3,5,5,3,6,2,2,6,4,6,3,6,2,2,6,2,2,2,1,57.6,87.0,5.0
6,1,2,4,5,4,5,4,1,6,1,3,6,1,2,2,6,5,5,2,2,5,6,4,2,4,5,2,1,6,1,2,4,4,5,4,2,5,6,3,5,1,6,2,1,5,6,6,1,2,2,4,3,2,1,58.6,84.0,6.0
4,5,5,3,6,2,5,2,2,4,4,2,5,2,1,2,2,6,4,2,3,3,5,4,3,6,3,2,1,4,4,4,4,3,4,2,6,4,5,2,4,1,3,6,5,1,3,1,3,1,4,5,5,2,1,60.40000000000001,81.0,7.0
2,2,3,6,2,5,2,2,1,4,3,3,5,3,3,4,2,6,6,3,2,1,2,3,6,2,3,1,6,5,6,2,2,1,4,4,5,3,3,4,1,2,2,3,5,6,4,5,4,1,6,1,2,6,3,58.4,82.0,8.0
